from,to1,to2
Coleta seletiva,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Aterro sanitário,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
"Coleta domiciliar (rotas, datas e horários)",Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Compra de lixo,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Lixo tóxico,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Limpeza urbana,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Tratamento de resíduos sólidos,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Serviços Urbanos,Urbanismo/Serviços Urbanos,Serviços Urbanos
Água,Urbanismo/Serviços Urbanos,Serviços Urbanos
Iluminação pública,Urbanismo/Serviços Urbanos,Serviços Urbanos
Troca de lâmpadas,Urbanismo/Serviços Urbanos,Serviços Urbanos
Luz,Urbanismo/Serviços Urbanos,Serviços Urbanos
Telefonia,Urbanismo/Serviços Urbanos,Serviços Urbanos
Transportes coletivos,Urbanismo/Serviços Urbanos,Serviços Urbanos
Cartão transporte,Urbanismo/Serviços Urbanos,Serviços Urbanos
Horário ônibus,Urbanismo/Serviços Urbanos,Serviços Urbanos
Isenção tarifária,Urbanismo/Serviços Urbanos,Serviços Urbanos
Itinerários transportes coletivos,Urbanismo/Serviços Urbanos,Serviços Urbanos
Metrô,Urbanismo/Serviços Urbanos,Serviços Urbanos
Passe escolar,Urbanismo/Serviços Urbanos,Serviços Urbanos
Pesquisa comportamental no transporte coletivo,Urbanismo/Serviços Urbanos,Serviços Urbanos
Rodoviário,Urbanismo/Serviços Urbanos,Serviços Urbanos
Concessão aos taxistas,Urbanismo/Serviços Urbanos,Serviços Urbanos
Moto frete,Urbanismo/Serviços Urbanos,Serviços Urbanos
Transporte escolar,Urbanismo/Serviços Urbanos,Serviços Urbanos
Trem metropolitano,Urbanismo/Serviços Urbanos,Serviços Urbanos
Urbanismo,Urbanismo,Urbanismo
Concessões,Urbanismo/Serviços Urbanos,Serviços Urbanos
Concessões de equipamentos urbanos,Urbanismo/Serviços Urbanos,Serviços Urbanos
Comércio em parques,Urbanismo/Serviços Urbanos,Serviços Urbanos
Feiras iivres,Urbanismo/Serviços Urbanos,Serviços Urbanos
Mercado municipal,Urbanismo/Serviços Urbanos,Serviços Urbanos
Consulta comercial,Urbanismo/Serviços Urbanos,Serviços Urbanos
Alvará de funcionamento,Urbanismo/Serviços Urbanos,Serviços Urbanos
Consulta protocolo,Urbanismo/Serviços Urbanos,Serviços Urbanos
Recurso ao conselho municipal de urbanismo,Urbanismo/Serviços Urbanos,Serviços Urbanos
Imóveis,Urbanismo,Urbanismo
Ampliação,Urbanismo,Urbanismo
Conclusão de obra,Urbanismo,Urbanismo
Construção,Urbanismo,Urbanismo
Declaração de localização de imóveis,Urbanismo,Urbanismo
Demolição,Urbanismo,Urbanismo
Parcelamento de solo,Urbanismo,Urbanismo
Plantas de imóveis,Urbanismo,Urbanismo
Potencial construtivo,Urbanismo,Urbanismo
Preservação de bosques e imóveis,Urbanismo,Urbanismo
Reforma de imóveis,Urbanismo,Urbanismo
Tombamento histórico,Urbanismo,Urbanismo
Publicidade ao ar livre,Urbanismo,Urbanismo
Documentos de publicidade ao ar livre,Urbanismo,Urbanismo
Especificação do projeto de publicidade,Urbanismo,Urbanismo
Legislação de publicidade ao ar livre,Urbanismo,Urbanismo
Procedimentos para publicidade ao ar livre,Urbanismo,Urbanismo
Requerimento de publicidade ao ar livre,Urbanismo,Urbanismo
Indústria,Indústria,Indústria
Política e gestão industrial,Indústria,Indústria
Conservação da energia,Energia,Energia
Normalização e qualidade,Administração/Normalização e Qualidade,Normalização e Qualidade
Promoção industrial,Indústria,Indústria
Propriedade industrial,Indústria/Produção Industrial,Produção Industrial
Regulamentação industrial,Indústria,Indústria
Tecnologia industrial,Indústria,Indústria
Produção Industrial,Indústria/Propriedade Industrial,Propriedade Industrial
Agroindústria,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria sucroalcooleira,Indústria/Propriedade Industrial,Propriedade Industrial
Construção civil,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria alimentar,Indústria/Propriedade Industrial,Propriedade Industrial
Tecnologia de alimentos,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria cerâmica,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria couro-calçadista,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria cultural,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria de arma e munição,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria de celulose e papel,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria de equipamentos médico-hospitalares,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria eletro-eletrônica,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria extrativa,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria farmacêutica,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria madeireira e movelaria,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria mecânica e metalúrgica,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria automobilística,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria naval,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria química e petroquímica,Indústria/Propriedade Industrial,Propriedade Industrial
Indústria têxteis,Indústria/Propriedade Industrial,Propriedade Industrial
Recursos energéticos,Energia,Energia
Álcool,Energia/Combustíveis,Combustíveis
Bioenergia,Energia/Combustíveis,Combustíveis
Biocombustível,Energia/Combustíveis,Combustíveis
Energia elétrica,Energia/Energia elétrica,Energia elétrica
Energio nuclear,Energia/Combustíveis,Combustíveis
Gás,Energia/Combustíveis,Combustíveis
Petróleo,Energia/Combustíveis,Combustíveis
Meio ambiente,Meio ambiente,Meio ambiente
Águas,Meio ambiente/Água,Água
Águas de chuva,Meio ambiente/Água,Água
Águas subterrâneas,Meio ambiente/Água,Água
Águas superficiais,Meio ambiente/Água,Água
Águas transfronteriças,Meio ambiente/Água,Água
Bacias hidrográficas,Meio ambiente/Água,Água
Revitalização de bacias hidrográficas,Meio ambiente/Água,Água
Alto Paraguai,Meio ambiente/Água,Água
Paraíba do Sul,Meio ambiente/Água,Água
São Francisco,Meio ambiente/Água,Água
Tocantins-Araguaia,Meio ambiente/Água,Água
Disponibilidade de água,Meio ambiente/Água,Água
Demanda de água,Meio ambiente/Água,Água
Oferta de água,Meio ambiente/Água,Água
Qualidade de água,Meio ambiente/Água,Água
Quantidade de água,Meio ambiente/Água,Água
Estudos hidrometeorológicos,Meio ambiente/Água,Água
Eventos críticos (secas e enchentes),Meio ambiente/Água,Água
Gestão dos recursos hídricos,Meio ambiente/Água,Água
Instrumentos para gestão de recursos hídricos,Meio ambiente/Água,Água
Cobrança pelo uso da água,Meio ambiente/Água,Água
Enquadramento dos corpos de água em classes de uso,Meio ambiente/Água,Água
Outorga dos direitos de uso de recursos hídricos,Meio ambiente/Água,Água
Planos de recursos hídricos,Meio ambiente/Água,Água
Sistema de informações sobre recursos hídricos,Meio ambiente/Água,Água
Recursos hídricos transfronteiriços,Meio ambiente/Água,Água
Acordos e tratados de cooperação internacionais,Meio ambiente/Água,Água
Águas transfronteiriças,Meio ambiente/Água,Água
Sistema nacional de gerenciamento de recursos hídricos,Meio ambiente/Água,Água
Agência de água,Meio ambiente/Água,Água
Comitês de bacias hidrográficas,Meio ambiente/Água,Água
Conselho nacional de recursos hídricos,Meio ambiente/Água,Água
Conselhos estaduais de recursos hídricos,Meio ambiente/Água,Água
Órgãos públicos gestores de recursos hídricos,Meio ambiente/Água,Água
Usos múltiplos de recursos hídricos,Meio ambiente/Água,Água
Abastecimento de água,Meio ambiente/Água,Água
Aquicultura e pesca,Meio ambiente/Água,Água
Geração de energia hidrelétrica,Meio ambiente/Água,Água
Recursos hídricos na agropecuária,Meio ambiente/Água,Água
Recursos hídricos na indústria,Meio ambiente/Água,Água
Transporte aquaviário,Meio ambiente/Água,Água
Proteção e conservação de água,Meio ambiente/Água,Água
Regiões hidrográficas,Meio ambiente/Água,Água
Amazônica,Meio ambiente/Água,Água
Atlântico leste,Meio ambiente/Água,Água
Atlântico nordeste ocidental,Meio ambiente/Água,Água
Atlântico nordeste oriental,Meio ambiente/Água,Água
Atlântico sudeste,Meio ambiente/Água,Água
Atlântico sul,Meio ambiente/Água,Água
Paraguai,Meio ambiente/Água,Água
Paraná,Meio ambiente/Água,Água
Parnaíba,Meio ambiente/Água,Água
São Francisco,Meio ambiente/Água,Água
Tocantins-Araguaia,Meio ambiente/Água,Água
Uruguai,Meio ambiente/Água,Água
Reuso e reaproveitamento de água,Meio ambiente/Água,Água
Segurança hídrica,Meio ambiente/Água,Água
Doenças de veiculação hídrica,Meio ambiente/Água,Água
Regiões com balanço deficitário de recursos hídricos,Meio ambiente/Água,Água
Ambientes ocupados pelo homem,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Áreas protegidas,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Área de preservação permanente (APP),Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Mananciais,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Restauração e preservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Áreas ambientalmente sensíveis,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Áreas prioritárias para a biodiversidade,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Áreas protegidas com reconhecimento internacional,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Corredores ecológicos,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Corredor central da amazônia (CCA),Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Corredor central da mata atlântica (CCMA),Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Gestão das unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Consolidação territorial,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Regularização fundiária,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Criação de unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Entorno das unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Geração de renda nas unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Ecoturismo,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Produtos e subprodutos da flora e da fauna,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Uso público das unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Manejo nas unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Gestão de áreas protegidas,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Reserva legal,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Recuperação e manejo sustentável,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Sistema de mosaicos de áreas protegidas,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Unidades de conservação (UCS),Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Proteção integral,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Estações ecológicas,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Monumentos naturais,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Parques Nacionais,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Refúgio da vida silvestre,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Reservas biológicas,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Roteiros metodológicos de proteção integral de UCS,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Uso público das unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Programas recreacionais em unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Visitação de unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Uso sustentável das unidades de conservação,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Área de relevante interesse ecológico,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Áreas de proteção ambiental,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Florestas nacionais,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Rede de unidades de conservação particulares,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Reserva particular do patrimônio natural,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Reserva da fauna,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Reservas de desenvolvimento sustentável,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Reservas extrativistas,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
Biodiversidade,Meio ambiente/Biodiversidade,Biodiversidade
Ameaças à biodiversidade,Meio ambiente/Biodiversidade,Biodiversidade
Desertificação,Meio ambiente/Biodiversidade,Biodiversidade
Desmatamento,Meio ambiente/Biodiversidade,Biodiversidade
Áreas desmatadas,Meio ambiente/Biodiversidade,Biodiversidade
Fragmentação de florestas,Meio ambiente/Biodiversidade,Biodiversidade
Espécies exóticas invasoras,Meio ambiente/Biodiversidade,Biodiversidade
Água de lastro,Meio ambiente/Biodiversidade,Biodiversidade
Análise de risco das espécies exóticas invasoras,Meio ambiente/Biodiversidade,Biodiversidade
Controle das espécies exóticas invasoras,Meio ambiente/Biodiversidade,Biodiversidade
Dispersão,Meio ambiente/Biodiversidade,Biodiversidade
Invasões biológicas,Meio ambiente/Biodiversidade,Biodiversidade
Não nativas,Meio ambiente/Biodiversidade,Biodiversidade
Vetores,Meio ambiente/Biodiversidade,Biodiversidade
Habitats naturais,Meio ambiente/Biodiversidade,Biodiversidade
Degradação de habitats,Meio ambiente/Biodiversidade,Biodiversidade
Perda de habitats,Meio ambiente/Biodiversidade,Biodiversidade
Mudanças climáticas,Meio ambiente/Biodiversidade,Biodiversidade
Queimadas e incêndios,Meio ambiente/Biodiversidade,Biodiversidade
Uso do solo,Meio ambiente/Biodiversidade,Biodiversidade
Antártida,Meio ambiente/Biodiversidade,Biodiversidade
Áreas prioritárias para a biodiversidade,Meio ambiente/Biodiversidade,Biodiversidade
Biomas brasileiros,Meio ambiente/Biodiversidade,Biodiversidade
Amazônia,Meio ambiente/Biodiversidade,Biodiversidade
Caatinga,Meio ambiente/Biodiversidade,Biodiversidade
Cerrado,Meio ambiente/Biodiversidade,Biodiversidade
Conservação e preservação de biomas,Meio ambiente/Biodiversidade,Biodiversidade
Infraestrutura para conservação e preservação de biomas,Meio ambiente/Biodiversidade,Biodiversidade
"Medidas preventivas, mitigadoras e compensatórias",Meio ambiente/Biodiversidade,Biodiversidade
Floresta amazônica,Meio ambiente/Biodiversidade,Biodiversidade
Mata atlântica,Meio ambiente/Biodiversidade,Biodiversidade
Pampa,Meio ambiente/Biodiversidade,Biodiversidade
Pantanal,Meio ambiente/Biodiversidade,Biodiversidade
Zona costeira e marinha,Meio ambiente/Biodiversidade,Biodiversidade
Ecossistemas costeiros,Meio ambiente/Biodiversidade,Biodiversidade
Espaços litorâneos,Meio ambiente/Biodiversidade,Biodiversidade
"Ilhas, parceis e atóis",Meio ambiente/Biodiversidade,Biodiversidade
Mangue,Meio ambiente/Biodiversidade,Biodiversidade
Recifes de coral,Meio ambiente/Biodiversidade,Biodiversidade
Zona econômica exclusiva,Meio ambiente/Biodiversidade,Biodiversidade
Biossegurança,Meio ambiente/Biodiversidade,Biodiversidade
Agrotóxicos,Meio ambiente/Biodiversidade,Biodiversidade
Biopirataria,Meio ambiente/Biodiversidade,Biodiversidade
Biotecnologia,Meio ambiente/Biodiversidade,Biodiversidade
Espécies ameaçadas,Meio ambiente/Biodiversidade,Biodiversidade
Espécies ameaçadas de extinção,Meio ambiente/Biodiversidade,Biodiversidade
Conservação de espécies ameçadas de extinção,Meio ambiente/Biodiversidade,Biodiversidade
Fauna ameçada de extinção,Meio ambiente/Biodiversidade,Biodiversidade
Flora ameçada de extinção,Meio ambiente/Biodiversidade,Biodiversidade
Manejo de espécies ameçadas de extinção,Meio ambiente/Biodiversidade,Biodiversidade
Proteção e recuperação de espécies ameçadas de extinção,Meio ambiente/Biodiversidade,Biodiversidade
Espécies dependentes de conservação,Meio ambiente/Biodiversidade,Biodiversidade
Espécies vulneráveis,Meio ambiente/Biodiversidade,Biodiversidade
Espécies endêmicas,Meio ambiente/Biodiversidade,Biodiversidade
Espécies exóticas invasoras,Meio ambiente/Biodiversidade,Biodiversidade
Controle das espécies exóticas invasoras,Meio ambiente/Biodiversidade,Biodiversidade
Nanotecnologia,Meio ambiente/Biodiversidade,Biodiversidade
Organismos geneticamente modificados (OGM),Meio ambiente/Biodiversidade,Biodiversidade
Transgênicos,Meio ambiente/Biodiversidade,Biodiversidade
Pesquisas para conservação de espécies,Meio ambiente/Biodiversidade,Biodiversidade
Riscos associados a novas tecnologias,Meio ambiente/Biodiversidade,Biodiversidade
Convenção sobre diversidade biológica (CDB),Meio ambiente/Biodiversidade,Biodiversidade
"Desenvolvimento, produção e uso sustentável",Meio ambiente/Biodiversidade,Biodiversidade
Agricultura familiar,Meio ambiente/Biodiversidade,Biodiversidade
Agrobiodiversidade,Meio ambiente/Biodiversidade,Biodiversidade
Manejo da agrobiodiversidade,Meio ambiente/Biodiversidade,Biodiversidade
Agroextrativismo,Meio ambiente/Biodiversidade,Biodiversidade
Extrativismo,Meio ambiente/Biodiversidade,Biodiversidade
Florestas plantadas,Meio ambiente/Biodiversidade,Biodiversidade
Manejo alternativo de animais crioulos e silvestres,Meio ambiente/Biodiversidade,Biodiversidade
Plantas medicinais,Meio ambiente/Biodiversidade,Biodiversidade
Silvicultura com espécies nativas,Meio ambiente/Biodiversidade,Biodiversidade
Sistemas agroflorestais (SAFS),Meio ambiente/Biodiversidade,Biodiversidade
Variedades crioulas,Meio ambiente/Biodiversidade,Biodiversidade
Rastreamento e certificação da produção agrícola,Meio ambiente/Biodiversidade,Biodiversidade
Agronegócio,Meio ambiente/Biodiversidade,Biodiversidade
Agroindústria,Meio ambiente/Biodiversidade,Biodiversidade
Atividade sucroalcooleira,Meio ambiente/Biodiversidade,Biodiversidade
Biocombustível,Meio ambiente/Biodiversidade,Biodiversidade
Arranjos produtivos locais (APL),Meio ambiente/Biodiversidade,Biodiversidade
Cadeias produtivas sustentáveis,Meio ambiente/Biodiversidade,Biodiversidade
Cadeias produtivas da sociobiodiversidade,Meio ambiente/Biodiversidade,Biodiversidade
Caracterização técnico-econômica de cadeias produtivas sustentáveis,Meio ambiente/Biodiversidade,Biodiversidade
Consumo sustentável,Meio ambiente/Biodiversidade,Biodiversidade
Segurança alimentar,Meio ambiente/Biodiversidade,Biodiversidade
Ecoturismo,Meio ambiente/Biodiversidade,Biodiversidade
Ecoturismo,Meio ambiente/Biodiversidade,Biodiversidade
Sustentabilidade ambiental da atividade turística,Meio ambiente/Biodiversidade,Biodiversidade
Campanha conduta consciente,Meio ambiente/Biodiversidade,Biodiversidade
Campanha férias sustentáveis,Meio ambiente/Biodiversidade,Biodiversidade
Turismo sustentável na amazônia legal,Meio ambiente/Biodiversidade,Biodiversidade
Espécies de valor econômico atual ou potencial,Meio ambiente/Biodiversidade,Biodiversidade
Integração do meio ambiente e produção,Meio ambiente/Biodiversidade,Biodiversidade
Adoção de tecnologias sustentáveis,Meio ambiente/Biodiversidade,Biodiversidade
Incentivos à produção sustentável,Meio ambiente/Biodiversidade,Biodiversidade
Manejo da biodiversidade,Meio ambiente/Biodiversidade,Biodiversidade
Manejo sustentável de animais silvestres,Meio ambiente/Biodiversidade,Biodiversidade
Manejo sustentável de espécies da flora,Meio ambiente/Biodiversidade,Biodiversidade
Planejamento ambiental,Meio ambiente/Biodiversidade,Biodiversidade
Produção mais limpa (P+L),Meio ambiente/Biodiversidade,Biodiversidade
Recuperação de áreas degradadas,Meio ambiente/Biodiversidade,Biodiversidade
Reposição florestal,Meio ambiente/Biodiversidade,Biodiversidade
Recursos pesqueiros,Meio ambiente/Biodiversidade,Biodiversidade
Aqüicultura,Meio ambiente/Biodiversidade,Biodiversidade
Carcinocultura,Meio ambiente/Biodiversidade,Biodiversidade
Avaliação de estoque pesqueiro,Meio ambiente/Biodiversidade,Biodiversidade
Ecossistemas aquáticos degradados,Meio ambiente/Biodiversidade,Biodiversidade
Gestão dos recursos pesqueiros,Meio ambiente/Biodiversidade,Biodiversidade
Ordenamento do uso dos recurso pesqueiros,Meio ambiente/Biodiversidade,Biodiversidade
Pesca amadora,Meio ambiente/Biodiversidade,Biodiversidade
Pesca predatória,Meio ambiente/Biodiversidade,Biodiversidade
Sustentabilidade dos recursos pesqueiros,Meio ambiente/Biodiversidade,Biodiversidade
Uso sustentável de recursos pesqueiros,Meio ambiente/Biodiversidade,Biodiversidade
Recuperação de recursos pesqueiros sobreexplotados,Meio ambiente/Biodiversidade,Biodiversidade
Sobreexplotação,Meio ambiente/Biodiversidade,Biodiversidade
Sobrepesca,Meio ambiente/Biodiversidade,Biodiversidade
Sistemas de certificação e rastreabilidade socioambiental,Meio ambiente/Biodiversidade,Biodiversidade
Sistemas de certificação e rastreabilidade socioambiental,Meio ambiente/Biodiversidade,Biodiversidade
Sustentabilidade ambiental,Meio ambiente/Biodiversidade,Biodiversidade
Ecossistemas aquáticos e terrestres,Meio ambiente/Biodiversidade,Biodiversidade
Ecossistemas aquáticos,Meio ambiente/Biodiversidade,Biodiversidade
Zonas úmidas,Meio ambiente/Biodiversidade,Biodiversidade
Ecossistemas terrestres,Meio ambiente/Biodiversidade,Biodiversidade
Patrimônio espeleológico,Meio ambiente/Biodiversidade,Biodiversidade
Cavernas,Meio ambiente/Biodiversidade,Biodiversidade
Cavidades,Meio ambiente/Biodiversidade,Biodiversidade
Patrimônio genético ou recursos genéticos,Meio ambiente/Biodiversidade,Biodiversidade
Coleções,Meio ambiente/Biodiversidade,Biodiversidade
Banco de germoplasma,Meio ambiente/Biodiversidade,Biodiversidade
Cadastro de coleções de espécies,Meio ambiente/Biodiversidade,Biodiversidade
Coleções nacionais de referência,Meio ambiente/Biodiversidade,Biodiversidade
Carpotecas,Meio ambiente/Biodiversidade,Biodiversidade
Coleções de plantas vivas,Meio ambiente/Biodiversidade,Biodiversidade
Herbários,Meio ambiente/Biodiversidade,Biodiversidade
Xilotecas,Meio ambiente/Biodiversidade,Biodiversidade
Instituições fiéis depositárias,Meio ambiente/Biodiversidade,Biodiversidade
Jardins botânicos,Meio ambiente/Biodiversidade,Biodiversidade
Conhecimento tradicional associado ao patrimônio genético (CTA),Meio ambiente/Biodiversidade,Biodiversidade
Direitos das comunidades tradicionais associado ao patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Espécies de intercâmbio facilitado,Meio ambiente/Biodiversidade,Biodiversidade
Recursos genéticos naturais sujeitos a restrições legais,Meio ambiente/Biodiversidade,Biodiversidade
Acesso a recursos genéticos naturais,Meio ambiente/Biodiversidade,Biodiversidade
Coleta e transporte de recursos genéticos naturais,Meio ambiente/Biodiversidade,Biodiversidade
Utilização do patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Autorizações para uso de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Acesso ao patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Coleta de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Remessa de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Termo de anuência prévia (TAP),Meio ambiente/Biodiversidade,Biodiversidade
Termo de transferência de material (TTM),Meio ambiente/Biodiversidade,Biodiversidade
Transporte de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Bioprospecção,Meio ambiente/Biodiversidade,Biodiversidade
Desenvolvimento de bioprodutos,Meio ambiente/Biodiversidade,Biodiversidade
Desenvolvimento tecnológico de produtos,Meio ambiente/Biodiversidade,Biodiversidade
Pesquisa científica de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Atividades científicas e de pesquisa de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Coleções científicas de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Conservação de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Cultivo de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Rede laboratorial de sementes,Meio ambiente/Biodiversidade,Biodiversidade
Identificação taxonômica de patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Pesquisa e coleta de material biológico,Meio ambiente/Biodiversidade,Biodiversidade
Cavidades naturais subterrâneas,Meio ambiente/Biodiversidade,Biodiversidade
Unidades de conservação,Meio ambiente/Biodiversidade,Biodiversidade
Sistemas de informação científica do patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Repartição de benefícios do patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Valoração do patrimônio genético,Meio ambiente/Biodiversidade,Biodiversidade
Cidadania ambiental,Meio ambiente,Meio ambiente
Agenda 21,Meio ambiente,Meio ambiente
Implementação da agenda 21,Meio ambiente,Meio ambiente
Agenda ambiental na administração pública (A3P),Meio ambiente,Meio ambiente
Códigos voluntários,Meio ambiente,Meio ambiente
Condutas ambientalmente adequadas,Meio ambiente,Meio ambiente
Tecnologia ambientalmente adequadas,Meio ambiente,Meio ambiente
Colegiados,Meio ambiente,Meio ambiente
Compras públicas sustentáveis,Meio ambiente,Meio ambiente
Licitações públicas sustentáveis,Meio ambiente,Meio ambiente
Conferência nacional de meio ambiente,Meio ambiente,Meio ambiente
Consumo sustentável,Meio ambiente,Meio ambiente
Educação ambiental,Meio ambiente,Meio ambiente
Capacitação para a implementação de atividades florestais,Meio ambiente,Meio ambiente
Capacitação social nas regiões hidrográficas,Meio ambiente,Meio ambiente
Coletivos educadores,Meio ambiente,Meio ambiente
Educação em reciclagem,Meio ambiente,Meio ambiente
Estruturas educadoras integradas,Meio ambiente,Meio ambiente
Salas verdes,Meio ambiente,Meio ambiente
Salas verdes x pontos de cultura,Meio ambiente,Meio ambiente
Entidades ambientalistas,Meio ambiente,Meio ambiente
Museu do meio ambiente,Meio ambiente,Meio ambiente
Economia e meio ambiente,Meio ambiente,Meio ambiente
Comércio internacional e meio ambiente,Meio ambiente,Meio ambiente
Ecomercados e negócios sustentáveis,Meio ambiente,Meio ambiente
Biocomércio,Meio ambiente,Meio ambiente
Feiras de negócios,Meio ambiente,Meio ambiente
Investidores interessados na área ambiental,Meio ambiente,Meio ambiente
Exploração econômica de recursos naturais,Meio ambiente,Meio ambiente
Agroestrativismo,Meio ambiente,Meio ambiente
Cadeias produtivas da sociobiodiversidade,Meio ambiente,Meio ambiente
Extrativismo,Meio ambiente,Meio ambiente
Produtos do extrativismo,Meio ambiente,Meio ambiente
Geração de renda nas unidades de conservação,Meio ambiente,Meio ambiente
Ecoturismo,Meio ambiente,Meio ambiente
Produtos e subprodutos da flora e da fauna,Meio ambiente,Meio ambiente
Uso público das unidades de conservação,Meio ambiente,Meio ambiente
